Server startup at 09/09/2021 13:43:14.867
   |Client                              |Online |Hearbeat               |  Orders count|
  0|6ab164a4-3866-4d03-a20b-58d4b3a6d665|false  |09/09/2021 13:44:59.570|            17|
  1|22745a3f-b992-46f8-90bf-e5a9fcccadbb|false  |09/09/2021 13:44:59.758|            17|
  2|37dc5d4a-8194-4a20-944c-17e4f0e40a13|false  |09/09/2021 13:44:59.758|            17|
  3|f6e75ef5-5692-4331-ad59-6ec3cd8852a4|false  |09/09/2021 13:44:58.767|            16|
  4|7ed5eebd-fb17-47ad-b26c-2def7a071779|false  |09/09/2021 13:44:58.767|            16|
  5|88fc3d82-64a1-4ffd-aaf0-991b27ac0a19|false  |09/09/2021 13:44:58.783|            16|
  6|ef0f35a1-739d-47a0-a961-5696ead67917|false  |09/09/2021 13:44:58.783|            16|
  7|c7910fa0-fefc-405f-b832-a509c7f7c808|false  |09/09/2021 13:44:58.798|            15|
  8|56582981-569d-472e-a87a-32a053f20fea|false  |09/09/2021 13:44:58.798|            15|
  9|83bce53f-c998-4da6-8461-d7522dc5ba3e|false  |09/09/2021 13:44:58.814|            15|
 10|46ccbad0-15fd-468b-9e4d-680b4543f671|false  |09/09/2021 13:44:58.830|            15|
 11|92075e11-5932-4a40-bb15-27b022115490|false  |09/09/2021 13:44:58.830|            15|
 12|6ff1ebaa-7b47-4d21-9241-75d8dc8a47dc|false  |09/09/2021 13:44:58.830|            14|
 13|0d5d6c9a-0071-427a-bbe0-7736842aa524|false  |09/09/2021 13:44:58.830|            14|
 14|6d51015a-e099-4573-935b-4e54f0faffe7|false  |09/09/2021 13:44:58.846|            14|
 15|0f40c86a-c1cf-4d80-9453-0e2e2157773a|false  |09/09/2021 13:44:58.846|            14|
 16|03b7f45f-c281-49e8-893d-3a628dba7cbb|false  |09/09/2021 13:44:58.846|            14|
 17|a950c6a6-ee05-47d2-b76f-1b2afb9ee402|false  |09/09/2021 13:44:58.862|            13|
 18|0ce0f59c-ae12-4167-9e71-7d54b7df80d9|false  |09/09/2021 13:44:58.878|            13|
 19|c97f5b16-01cf-4b8b-a979-27fa9832dae0|false  |09/09/2021 13:44:58.894|            13|
 20|ce3e6472-5b0f-4e3e-9521-c4e1e5b41d33|false  |09/09/2021 13:44:58.894|            13|
 21|5565de5c-4668-44b4-a9a0-0ed8cd082935|false  |09/09/2021 13:44:58.894|            13|
 22|cf75a7e7-b47a-4691-b6e0-e1a0b8fadb4d|false  |09/09/2021 13:44:58.909|            12|
 23|520a944c-8548-4e3b-bafa-014d7345b93e|false  |09/09/2021 13:44:58.909|            12|
 24|4c2d07f1-6b89-4bdb-beb2-3b3bee5262bb|false  |09/09/2021 13:44:58.909|            12|
 25|2fe53a53-acf3-400e-ab1f-22ca2c1d30e0|false  |09/09/2021 13:44:58.925|            12|
 26|4b45b20b-67fb-4c62-9793-f91cea7b7695|false  |09/09/2021 13:44:58.925|            12|
 27|fc81f603-d422-4c92-af51-5cf784100c4d|false  |09/09/2021 13:44:58.941|            11|
 28|0a0f08c1-5acf-4923-a050-fc0fa35367c8|false  |09/09/2021 13:44:58.941|            11|
 29|b8a0ae78-abdf-48d0-934f-39bc073e31b1|false  |09/09/2021 13:44:58.956|            11|
 30|ce61a5fb-8a49-41aa-93b6-5a77c8ba2a00|false  |09/09/2021 13:44:58.956|            11|
 31|31fadb97-2658-4bf9-baa0-32b93e41276d|false  |09/09/2021 13:44:58.956|            11|
 32|c625a885-c749-434e-a904-d4c558df83ac|false  |09/09/2021 13:44:58.956|            10|
 33|d4fca93c-772b-4111-b8ff-31a533ef92f6|false  |09/09/2021 13:44:58.972|            10|
 34|4d76f1ed-3fe6-4ead-b975-004d0fb154e7|false  |09/09/2021 13:44:58.972|            10|
 35|b1ad5a6a-06cc-4c72-98f6-a558b53b627a|false  |09/09/2021 13:44:58.987|            10|
 36|c4bca519-1a04-482f-8bd5-9be8857b04f1|false  |09/09/2021 13:44:58.987|            10|
 37|c8039695-0da0-4630-8b21-6de513041cf7|false  |09/09/2021 13:44:59.003|             9|
 38|d1944c8a-dac9-480c-bcf0-88ddbcb3ca1f|false  |09/09/2021 13:44:59.003|             9|
 39|7aec32cf-8af7-43b6-968d-fa22e993acda|false  |09/09/2021 13:44:59.019|             9|
